index,local_time,date,weekday,value,seasonal_naive_residual,z_score,is_holiday,holiday
172,2013-11-02T04:40:00.000000000,2013-11-02,Saturday,288.0573425292969,164.3237075805664,4.59571291247809,False,
227,2013-11-02T13:50:00.000000000,2013-11-02,Saturday,8044.07080078125,4525.046142578125,6.928742228868235,False,
294,2013-11-03T01:00:00.000000000,2013-11-03,Sunday,706.9776611328125,527.9626007080078,8.825374930818313,False,
295,2013-11-03T01:10:00.000000000,2013-11-03,Sunday,503.78045654296875,316.53944396972656,4.5695923244600785,False,
302,2013-11-03T02:20:00.000000000,2013-11-03,Sunday,604.8645629882812,443.1152801513672,10.264338477582077,False,
316,2013-11-03T04:40:00.000000000,2013-11-03,Sunday,149.65777587890625,-138.39956665039062,4.01427747210491,False,
352,2013-11-03T10:40:00.000000000,2013-11-03,Sunday,820.7864990234375,-1407.3599853515625,4.532223999072324,False,
369,2013-11-03T13:30:00.000000000,2013-11-03,Sunday,2523.5869140625,-2846.88330078125,4.3614159013420135,False,
370,2013-11-03T13:40:00.000000000,2013-11-03,Sunday,2822.498291015625,-1932.466064453125,4.5118481542135,False,
371,2013-11-03T13:50:00.000000000,2013-11-03,Sunday,2557.13671875,-5486.93408203125,8.650883809395365,False,
438,2013-11-04T01:00:00.000000000,2013-11-04,Monday,256.82781982421875,-450.14984130859375,7.509092120854304,False,
439,2013-11-04T01:10:00.000000000,2013-11-04,Monday,217.5563201904297,-286.22413635253906,4.042079514559048,False,
446,2013-11-04T02:20:00.000000000,2013-11-04,Monday,152.16160583496094,-452.7029571533203,10.659752582293194,False,
493,2013-11-04T10:10:00.000000000,2013-11-04,Monday,1387.07275390625,856.3613891601562,5.628253819542627,False,
1287,2013-11-09T22:30:00.000000000,2013-11-09,Saturday,1947.1656494140625,1091.9503173828125,5.088449279953378,False,
1289,2013-11-09T22:50:00.000000000,2013-11-09,Saturday,1171.3193359375,610.4265747070312,4.522296435931776,False,
1317,2013-11-10T03:30:00.000000000,2013-11-10,Sunday,413.7218322753906,163.09515380859375,4.3551615611532055,False,
1336,2013-11-10T06:40:00.000000000,2013-11-10,Sunday,451.0174560546875,244.69375610351562,5.395764807044165,False,
1431,2013-11-10T22:30:00.000000000,2013-11-10,Sunday,783.0814819335938,-1164.0841674804688,5.355446124998181,False,
1445,2013-11-11T00:50:00.000000000,2013-11-11,Monday,269.1357116699219,-321.9908142089844,4.779190590581192,False,
1480,2013-11-11T06:40:00.000000000,2013-11-11,Monday,217.01055908203125,-234.00689697265625,4.866596507987544,False,
1534,2013-11-11T15:40:00.000000000,2013-11-11,Monday,2284.594482421875,-2605.754638671875,4.103853892779663,False,
1604,2013-11-12T03:20:00.000000000,2013-11-12,Tuesday,197.33853149414062,-199.56527709960938,4.1855583051955865,False,
1605,2013-11-12T03:30:00.000000000,2013-11-12,Tuesday,182.44537353515625,-315.0733642578125,9.296365661177742,False,
1772,2013-11-13T07:20:00.000000000,2013-11-13,Wednesday,641.0376586914062,341.2358093261719,5.010814285165061,False,
2023,2013-11-15T01:10:00.000000000,2013-11-15,Friday,641.109375,402.1613006591797,5.792870166931706,False,
2024,2013-11-15T01:20:00.000000000,2013-11-15,Friday,491.0115051269531,243.8858642578125,5.728113606066347,False,
2031,2013-11-15T02:30:00.000000000,2013-11-15,Friday,564.8511962890625,344.9099884033203,7.105750488256459,False,
2039,2013-11-15T03:50:00.000000000,2013-11-15,Friday,462.40167236328125,252.545166015625,7.160183377460261,False,
2040,2013-11-15T04:00:00.000000000,2013-11-15,Friday,834.6996459960938,624.7926177978516,20.717463173027575,False,
2049,2013-11-15T05:30:00.000000000,2013-11-15,Friday,591.3006591796875,390.3336486816406,8.738135027999117,False,
2167,2013-11-16T01:10:00.000000000,2013-11-16,Saturday,188.92762756347656,-452.18174743652344,6.413112756280014,False,
2168,2013-11-16T01:20:00.000000000,2013-11-16,Saturday,195.02989196777344,-295.9816131591797,6.948130174161034,False,
2175,2013-11-16T02:30:00.000000000,2013-11-16,Saturday,163.16854858398438,-401.6826477050781,8.344891214185857,False,
2176,2013-11-16T02:40:00.000000000,2013-11-16,Saturday,160.43577575683594,-181.16114807128906,4.266876472494755,False,
2183,2013-11-16T03:50:00.000000000,2013-11-16,Saturday,138.9768829345703,-323.42478942871094,9.259315793573196,False,
2184,2013-11-16T04:00:00.000000000,2013-11-16,Saturday,140.3550262451172,-694.3446197509766,23.345711869980722,False,
2193,2013-11-16T05:30:00.000000000,2013-11-16,Saturday,166.57777404785156,-424.72288513183594,9.798321740035295,False,
2300,2013-11-16T23:20:00.000000000,2013-11-16,Saturday,1380.436279296875,854.564697265625,4.618907121636704,False,
2444,2013-11-17T23:20:00.000000000,2013-11-17,Sunday,375.1758117675781,-1005.2604675292969,5.222874380456387,False,
2448,2013-11-18T00:00:00.000000000,2013-11-18,Monday,297.2167663574219,-607.2509460449219,4.1270797288192105,False,
2451,2013-11-18T00:30:00.000000000,2013-11-18,Monday,1275.5611572265625,571.9360961914062,5.438973142784094,False,
2453,2013-11-18T00:50:00.000000000,2013-11-18,Monday,1809.5704345703125,1418.2393188476562,21.26796761415621,False,
2509,2013-11-18T10:10:00.000000000,2013-11-18,Monday,1352.0284423828125,858.7711486816406,5.643707877317835,False,
2553,2013-11-18T17:30:00.000000000,2013-11-18,Monday,1965.4639892578125,-3475.0521240234375,4.994023381673062,False,
2561,2013-11-18T18:50:00.000000000,2013-11-18,Monday,2294.054443359375,-2623.660888671875,4.222411311299971,False,
2595,2013-11-19T00:30:00.000000000,2013-11-19,Tuesday,284.1715087890625,-991.3896484375,9.686718581410537,False,
2596,2013-11-19T00:40:00.000000000,2013-11-19,Tuesday,229.5872344970703,-676.5545501708984,5.085389614691907,False,
2597,2013-11-19T00:50:00.000000000,2013-11-19,Tuesday,288.4530334472656,-1521.1174011230469,22.727299477764095,False,
2767,2013-11-20T05:10:00.000000000,2013-11-20,Wednesday,366.927734375,214.08248901367188,5.283846409971809,False,
2911,2013-11-21T05:10:00.000000000,2013-11-21,Thursday,164.9506378173828,-201.9770965576172,4.8084316734760915,False,
3030,2013-11-22T01:00:00.000000000,2013-11-22,Friday,598.9109497070312,318.89154052734375,5.333890519334509,False,
3034,2013-11-22T01:40:00.000000000,2013-11-22,Friday,486.64044189453125,289.4281463623047,4.879576310998438,False,
3174,2013-11-23T01:00:00.000000000,2013-11-23,Saturday,267.6320495605469,-331.2789001464844,5.523948707474809,False,
3178,2013-11-23T01:40:00.000000000,2013-11-23,Saturday,182.37684631347656,-304.2635955810547,4.85548697105781,False,
3179,2013-11-23T01:50:00.000000000,2013-11-23,Saturday,223.15057373046875,-187.63833618164062,4.034559317501237,False,
3464,2013-11-25T01:20:00.000000000,2013-11-25,Monday,507.66802978515625,255.26998901367188,5.995416132457156,False,
3467,2013-11-25T01:50:00.000000000,2013-11-25,Monday,914.6452026367188,682.4270477294922,14.45174614509292,False,
3468,2013-11-25T02:00:00.000000000,2013-11-25,Monday,620.0686645507812,350.14813232421875,8.185143861069333,False,
3507,2013-11-25T08:30:00.000000000,2013-11-25,Monday,1188.2509765625,869.7443237304688,5.781289256320064,False,
3509,2013-11-25T08:50:00.000000000,2013-11-25,Monday,1142.0401611328125,834.7972412109375,4.658623678210453,False,
3514,2013-11-25T09:40:00.000000000,2013-11-25,Monday,1483.4830322265625,889.2965698242188,4.079486573424131,False,
3518,2013-11-25T10:20:00.000000000,2013-11-25,Monday,2291.689453125,1535.6195678710938,5.233945851037206,False,
3608,2013-11-26T01:20:00.000000000,2013-11-26,Tuesday,267.3717346191406,-240.29629516601562,5.640622877670178,False,
3611,2013-11-26T01:50:00.000000000,2013-11-26,Tuesday,223.009521484375,-691.6356811523438,14.743006112134882,False,
3612,2013-11-26T02:00:00.000000000,2013-11-26,Tuesday,201.65257263183594,-418.4160919189453,9.747524980352912,False,
4281,2013-11-30T17:30:00.000000000,2013-11-30,Saturday,6032.7548828125,3050.33837890625,4.20277223211875,False,
4294,2013-11-30T19:40:00.000000000,2013-11-30,Saturday,4428.70361328125,2543.0926513671875,4.169524152512752,False,
4296,2013-11-30T20:00:00.000000000,2013-11-30,Saturday,3709.053955078125,2112.354248046875,4.777767308514113,False,
4303,2013-11-30T21:10:00.000000000,2013-11-30,Saturday,2149.755126953125,1270.9276733398438,4.0697064560530825,False,
4462,2013-12-01T23:40:00.000000000,2013-12-01,Sunday,296.0057373046875,-455.822265625,4.0903520844538095,False,
4473,2013-12-02T01:30:00.000000000,2013-12-02,Monday,535.2749633789062,357.70851135253906,6.225920880228731,False,
4538,2013-12-02T12:20:00.000000000,2013-12-02,Monday,2351.239990234375,-2283.796630859375,4.867106633578371,False,
4539,2013-12-02T12:30:00.000000000,2013-12-02,Monday,2261.564453125,-2285.998046875,4.152786911145904,False,
4543,2013-12-02T13:10:00.000000000,2013-12-02,Monday,2730.2314453125,-2811.24609375,4.52584894438055,False,
4555,2013-12-02T15:10:00.000000000,2013-12-02,Monday,2713.321533203125,-2630.776123046875,4.790034563796679,False,
4558,2013-12-02T15:40:00.000000000,2013-12-02,Monday,3186.318359375,-2913.51171875,4.579528381280713,False,
4559,2013-12-02T15:50:00.000000000,2013-12-02,Monday,2554.927001953125,-3676.936767578125,4.428366535094636,False,
4560,2013-12-02T16:00:00.000000000,2013-12-02,Monday,2654.891845703125,-3895.995361328125,4.633325989148577,False,
