square_id,model,peak_lag,peak_correlation,lag0_correlation,lag1_correlation,lag_margin,copy_ratio,verdict
5161,persistence,1,0.99971,0.99527,0.99971,0.00444,0.0,collapsed
5161,seasonal_naive,1,0.81744,0.81598,0.81744,0.00147,6.3765,independent
5161,harmonic_arima,1,0.99777,0.99495,0.99777,0.00283,0.7446,independent
5161,lightgbm,1,0.9896,0.9874,0.9896,0.0022,1.5096,independent
5161,lstm,1,0.99072,0.98945,0.99072,0.00127,1.6111,independent
5161,lstm_ensemble,1,0.99072,0.98945,0.99072,0.00127,1.6111,independent
5059,persistence,1,0.99973,0.99156,0.99973,0.00817,0.0,collapsed
5059,seasonal_naive,2,0.69193,0.68887,0.69141,0.00254,6.0936,independent
5059,harmonic_arima,1,0.99277,0.98757,0.99277,0.00519,0.8819,independent
5059,lightgbm,1,0.9843,0.9805,0.9843,0.0038,1.3917,independent
5059,lstm,1,0.97948,0.97672,0.97948,0.00276,2.0242,independent
5059,lstm_ensemble,1,0.97948,0.97672,0.97948,0.00276,2.0242,independent
5259,persistence,1,0.9998,0.99236,0.9998,0.00743,0.0,collapsed
5259,seasonal_naive,8,0.26461,0.24178,0.24716,0.00539,9.9012,independent
5259,harmonic_arima,1,0.99826,0.9936,0.99826,0.00466,0.474,near-persistence
5259,lightgbm,1,0.99344,0.98991,0.99344,0.00354,1.2865,independent
5259,lstm,1,0.99077,0.98682,0.99077,0.00395,1.8732,independent
5259,lstm_ensemble,1,0.99077,0.98682,0.99077,0.00395,1.8732,independent
