square_id,model,split,n_seeds,mae,mae_std,rmse,rmse_std,mape,smape,mase,mase_std,r2,bias,n_params,device,lag1_copy_ratio,train_wall_s,train_wall_std,inference_wall_s,inference_ms_per_step
5161,persistence,stress,1,68.8783,0.0,107.6064,0.0,12.3579,12.1449,0.19827,0.0,0.99055,0.0571,0,cpu,0.0,0.0,0.0,0.0,0.0
5161,seasonal_naive,stress,1,439.8818,0.0,734.5743,0.0,79.194,46.2494,1.26624,0.0,0.55949,126.0256,0,cpu,6.3708,0.0,0.0,0.0,0.0
5161,harmonic_arima,stress,1,75.0692,0.0,114.7628,0.0,14.2287,13.004,0.21609,0.0,0.98925,28.5471,22,cpu,0.7439,15.16,0.0,110.5586,76.7768
5161,lstm,stress,3,122.6088,24.0391,183.7653,29.8988,24.1441,20.1135,0.35294,0.0692,0.97195,71.668,202369,cuda,1.6097,10.078,0.15,0.0618,0.0429
5161,lstm_ensemble,stress,3,118.556,0.0,175.6751,0.0,23.5286,19.6561,0.34127,0.0,0.97481,71.668,607107,cuda,1.6097,30.234,0.0,0.1854,0.1287
5161,lightgbm,stress,1,116.1037,0.0,180.6133,0.0,27.1473,21.9213,0.33421,0.0,0.97337,39.4636,19639,cpu,1.5082,0.882,0.0,0.0216,0.015
5059,persistence,stress,1,57.4259,0.0,89.5432,0.0,10.1436,10.0136,0.21246,0.0,0.98312,0.0789,0,cpu,0.0,0.0,0.0,0.0,0.0
5059,seasonal_naive,stress,1,350.0954,0.0,557.4364,0.0,58.0751,42.6172,1.29529,0.0,0.34569,41.4278,0,cpu,6.0973,0.0,0.0,0.0,0.0
5059,harmonic_arima,stress,1,66.854,0.0,112.125,0.0,12.3761,11.4811,0.24735,0.0,0.97353,28.8922,22,cpu,0.8824,13.138,0.0,116.9702,81.2293
5059,lstm,stress,3,123.0824,8.7429,179.8362,7.7216,24.2169,20.3052,0.45538,0.03235,0.93182,96.3099,202369,cuda,2.0255,10.089,0.142,0.0627,0.0435
5059,lstm_ensemble,stress,3,122.0843,0.0,178.6124,0.0,24.0544,20.178,0.45169,0.0,0.93282,96.3099,607107,cuda,2.0255,30.267,0.0,0.188,0.1306
5059,lightgbm,stress,1,88.3993,0.0,144.2838,0.0,20.663,17.6196,0.32706,0.0,0.95616,49.7376,19684,cpu,1.3926,0.768,0.0,0.0203,0.0141
5259,persistence,stress,1,33.5134,0.0,52.7185,0.0,10.9283,10.8422,0.064,0.0,0.98473,0.0566,0,cpu,0.0,0.0,0.0,0.0,0.0
5259,seasonal_naive,stress,1,330.9185,0.0,519.2109,0.0,99.3553,63.3438,0.63192,0.0,-0.48111,10.6829,0,cpu,9.8973,0.0,0.0,0.0,0.0
5259,harmonic_arima,stress,1,31.0815,0.0,49.3769,0.0,10.121,9.8031,0.05935,0.0,0.9866,7.3597,22,cpu,0.4739,15.232,0.0,115.5356,80.2331
5259,lstm,stress,3,68.4661,4.1051,96.3205,4.5462,24.8658,20.9262,0.13074,0.00784,0.94895,56.2969,202369,cuda,1.8725,10.081,0.163,0.0627,0.0435
5259,lstm_ensemble,stress,3,68.1982,0.0,95.8622,0.0,24.7629,20.8635,0.13023,0.0,0.94951,56.2969,607107,cuda,1.8725,30.242,0.0,0.188,0.1306
5259,lightgbm,stress,1,50.1407,0.0,66.7999,0.0,22.8693,19.3129,0.09575,0.0,0.97548,27.8323,19974,cpu,1.286,0.888,0.0,0.0182,0.0127
