date,download_s,ingest_s,raw_rows,absent_cells,peak_rss_mib,absent_fraction,total_s
2013-11-01,5.7,1.6,4842625,18,574,1.25e-05,7.3
2013-11-02,4.7,1.4,4745086,14,334,9.72e-06,6.1
2013-11-03,5.0,1.4,4722579,37,305,2.569e-05,6.4
2013-11-04,5.6,1.6,5639488,24,354,1.667e-05,7.2
2013-11-05,6.4,1.6,5874140,23,380,1.597e-05,8.0
2013-11-06,5.8,1.6,5912097,20,362,1.389e-05,7.4
2013-11-07,6.0,1.6,5886883,19,359,1.319e-05,7.6
2013-11-08,6.1,1.6,5918856,24,360,1.667e-05,7.7
2013-11-09,5.4,1.5,5052416,22,317,1.528e-05,6.9
2013-11-10,4.6,1.4,4731582,17,300,1.181e-05,6.0
2013-11-11,5.7,1.6,5478993,15,336,1.042e-05,7.3
2013-11-12,6.3,1.5,5597591,25,342,1.736e-05,7.8
2013-11-13,7.8,1.6,5689517,25,346,1.736e-05,9.4
2013-11-14,7.1,1.7,5703373,25,347,1.736e-05,8.8
2013-11-15,6.4,1.6,5708802,29,351,2.014e-05,8.0
2013-11-16,5.5,1.4,4847779,33,306,2.292e-05,6.9
2013-11-17,5.7,1.4,4611954,30,293,2.083e-05,7.1
2013-11-18,5.7,1.6,5417835,30,332,2.083e-05,7.3
2013-11-19,5.9,1.5,5577668,21,340,1.458e-05,7.4
2013-11-20,6.4,1.6,5643712,33,343,2.292e-05,8.0
2013-11-21,6.3,1.5,5616011,26,342,1.806e-05,7.8
2013-11-22,5.9,1.5,5634579,26,344,1.806e-05,7.4
2013-11-23,5.0,1.4,4779119,128,303,8.889e-05,6.4
2013-11-24,5.1,1.4,4548405,170,290,0.00011806,6.5
2013-11-25,6.3,1.5,5365586,183,329,0.00012708,7.8
2013-11-26,5.6,1.6,5491322,390,336,0.00027083,7.2
2013-11-27,5.8,1.5,5448926,183,334,0.00012708,7.3
2013-11-28,6.0,1.6,5472300,261,335,0.00018125,7.6
2013-11-29,6.3,1.5,5482752,450,335,0.0003125,7.8
2013-11-30,5.8,1.4,4666027,460,297,0.00031944,7.2
2013-12-01,5.3,1.3,4438331,658,285,0.00045694,6.6
2013-12-02,5.9,1.5,5320367,463,326,0.00032153,7.4
2013-12-03,7.1,1.5,5545148,673,338,0.00046736,8.6
2013-12-04,5.6,1.6,5501001,592,336,0.00041111,7.2
2013-12-05,5.9,1.6,5523429,713,337,0.00049514,7.5
2013-12-06,5.4,1.6,5525307,714,338,0.00049583,7.0
2013-12-07,4.8,1.4,4590100,797,293,0.00055347,6.2
2013-12-08,4.6,1.4,4357172,1000,280,0.00069444,6.0
2013-12-09,5.4,1.4,5252874,707,324,0.00049097,6.8
2013-12-10,6.0,1.6,5455708,838,333,0.00058194,7.6
2013-12-11,5.8,1.5,5483990,765,335,0.00053125,7.3
2013-12-12,5.7,1.6,5538445,748,338,0.00051944,7.3
2013-12-13,6.2,1.5,5467246,707,335,0.00049097,7.7
2013-12-14,5.7,1.4,4634809,788,296,0.00054722,7.1
2013-12-15,5.4,1.4,4412002,1079,283,0.00074931,6.8
2013-12-16,6.3,1.6,5320759,742,327,0.00051528,7.9
2013-12-17,6.3,1.5,5476473,724,335,0.00050278,7.8
2013-12-18,6.6,1.5,5472133,741,335,0.00051458,8.1
2013-12-19,6.3,1.6,5572121,723,340,0.00050208,7.9
2013-12-20,6.4,1.5,5410674,826,333,0.00057361,7.9
2013-12-21,5.5,1.4,4705979,922,299,0.00064028,6.9
2013-12-22,4.8,1.4,4482939,1367,287,0.00094931,6.2
2013-12-23,5.4,1.5,4986627,942,311,0.00065417,6.9
2013-12-24,5.7,1.5,5014066,1069,313,0.00074236,7.2
2013-12-25,5.2,1.4,4907775,1882,310,0.00130694,6.6
2013-12-26,5.1,1.2,4162680,2267,268,0.00157431,6.3
2013-12-27,5.7,1.3,4547803,1395,289,0.00096875,7.0
2013-12-28,5.2,1.3,4204331,1263,272,0.00087708,6.5
2013-12-29,4.9,1.3,4071711,1996,265,0.00138611,6.2
2013-12-30,4.5,1.4,4508084,1257,287,0.00087292,5.9
2013-12-31,5.3,1.4,4968039,1264,309,0.00087778,6.7
2014-01-01,5.2,1.4,4930163,1299,314,0.00090208,6.6
