run_id,timestamp,model,area,stage,seed,hyperparams_json,feature_set,train_mae,valid_mae,valid_rmse,valid_mase,train_wall_s,n_params,git_sha,rationale_for_next_change
f69750b0e8b2,2026-09-15T20:13:08+0200,harmonic_arima,5161,fourier_order,0,"{""aic"": -6088.201724749142, ""aicc"": -6088.032183464738, ""bic"": -5949.454012945405, ""fit_wall_s"": 12.966, ""k_daily"": 6, ""k_weekly"": 2, ""n_params"": 21, ""order"": [2, 0, 1], ""use_log"": true}","fourier(K1=6,K2=2)",nan,101.46071393692999,156.26751766350782,0.2920628301848632,12.967,21,454ebb5,"AICc selected K1=6, K2=2 from 15 candidates, spanning -6088 to -5971. K1>=2 was required by the 12-hour spectral peak. Validation MAE 101.46, MASE 0.292. Next: search ARIMA(p,d,q) around the selected harmonics, holding d=0 since ADF and KPSS agree there is no stochastic trend."
f00ae684e510,2026-09-15T20:13:50+0200,harmonic_arima,5161,arima_order,0,"{""aic"": -5257.676138400172, ""aicc"": -5257.536740014259, ""bic"": -5132.139021212959, ""fit_wall_s"": 2.002, ""k_daily"": 6, ""k_weekly"": 2, ""n_params"": 19, ""order"": [1, 0, 0], ""use_log"": true}","fourier(K1=6,K2=2)",nan,118.4716471973997,185.4081278616521,0.34103017054112145,2.004,19,454ebb5,"ARIMA(1, 0, 0) with the AICc-selected harmonics gave validation MAE 118.47, worsened validation MAE by 17.01 (16.8%). d is held at 0 throughout because both stationarity tests agree the raw series has no unit root; differencing would remove signal."
02b7b6981a5a,2026-09-15T20:14:39+0200,harmonic_arima,5161,arima_order,0,"{""aic"": -5754.66343402943, ""aicc"": -5754.509333864323, ""bic"": -5622.5227561211095, ""fit_wall_s"": 3.094, ""k_daily"": 6, ""k_weekly"": 2, ""n_params"": 20, ""order"": [2, 0, 0], ""use_log"": true}","fourier(K1=6,K2=2)",nan,105.58804062779457,165.33590774966274,0.3039436722138357,3.096,20,454ebb5,"ARIMA(2, 0, 0) with the AICc-selected harmonics gave validation MAE 105.59, worsened validation MAE by 4.13 (4.1%). d is held at 0 throughout because both stationarity tests agree the raw series has no unit root; differencing would remove signal."
e24c0e11036d,2026-09-15T20:15:41+0200,harmonic_arima,5161,arima_order,0,"{""aic"": -6088.201724749142, ""aicc"": -6088.032183464738, ""bic"": -5949.454012945405, ""fit_wall_s"": 11.512, ""k_daily"": 6, ""k_weekly"": 2, ""n_params"": 21, ""order"": [2, 0, 1], ""use_log"": true}","fourier(K1=6,K2=2)",nan,101.46071393692999,156.26751766350782,0.2920628301848632,11.514,21,454ebb5,"ARIMA(2, 0, 1) with the AICc-selected harmonics gave validation MAE 101.46, no change against the previous stage. d is held at 0 throughout because both stationarity tests agree the raw series has no unit root; differencing would remove signal."
04cc25ec5ac9,2026-09-15T20:17:08+0200,harmonic_arima,5161,arima_order,0,"{""aic"": -6096.765161203079, ""aicc"": -6096.579439052225, ""bic"": -5951.41443780945, ""fit_wall_s"": 16.095, ""k_daily"": 6, ""k_weekly"": 2, ""n_params"": 22, ""order"": [3, 0, 1], ""use_log"": true}","fourier(K1=6,K2=2)",nan,101.24064196609848,155.83521425698368,0.2914293353063887,16.097,22,454ebb5,"ARIMA(3, 0, 1) with the AICc-selected harmonics gave validation MAE 101.24, improved validation MAE by 0.22 (0.2%). d is held at 0 throughout because both stationarity tests agree the raw series has no unit root; differencing would remove signal."
b208a4b1386d,2026-09-15T20:18:01+0200,harmonic_arima,5161,arima_order,0,"{""aic"": -6073.577541386896, ""aicc"": -6073.423441221788, ""bic"": -5941.436863478575, ""fit_wall_s"": 9.343, ""k_daily"": 6, ""k_weekly"": 2, ""n_params"": 20, ""order"": [1, 0, 1], ""use_log"": true}","fourier(K1=6,K2=2)",nan,101.3150579768791,156.28991824887876,0.29164354778209794,9.346,20,454ebb5,"ARIMA(1, 0, 1) with the AICc-selected harmonics gave validation MAE 101.32, improved validation MAE by 0.15 (0.1%). d is held at 0 throughout because both stationarity tests agree the raw series has no unit root; differencing would remove signal."
51d197d8a8d3,2026-09-15T20:54:18+0200,lstm,5161,sequence_length,0,"{""batch_size"": 64, ""best_epoch"": 17, ""best_valid_mae_scaled"": 0.07191164791584015, ""dropout"": 0.2, ""epochs_run"": 23, ""fit_wall_s"": 2018.695, ""hidden_size"": 64, ""input_size"": 7, ""learning_rate"": 0.001, ""max_epochs"": 30, ""n_params"": 52033, ""num_layers"": 2, ""patience"": 5, ""seed"": 0, ""sequence_length"": 288, ""stopped_early"": true, ""use_calendar"": true, ""weight_decay"": 0.0}",window+calendar,nan,113.94184290327055,177.76433904034582,0.32799076434150315,2018.817,52033,454ebb5,"sequence_length: sequence_length=288 won 4 candidates with validation MAE 113.94; spread across the axis was 17.5%. first stage, no prior baseline. The axis matters, so it is worth holding this value fixed."
6f1f63105c9a,2026-09-16T11:53:25+0200,lstm,5161,capacity,0,"{""batch_size"": 64, ""best_epoch"": 16, ""best_valid_mae_scaled"": 0.06829789280891418, ""dropout"": 0.2, ""epochs_run"": 22, ""fit_wall_s"": 49678.807, ""hidden_size"": 128, ""input_size"": 7, ""learning_rate"": 0.001, ""max_epochs"": 30, ""n_params"": 202369, ""num_layers"": 2, ""patience"": 5, ""seed"": 0, ""sequence_length"": 288, ""stopped_early"": true, ""use_calendar"": true, ""weight_decay"": 0.0}",window+calendar,nan,103.07459489285363,159.47213210900978,0.2967085163946164,49678.931,202369,454ebb5,"capacity: hidden_size=128, num_layers=2 won 6 candidates with validation MAE 103.07; spread across the axis was 51.4%. improved validation MAE by 10.87 (9.5%). The axis matters, so it is worth holding this value fixed."
e6371d202cb1,2026-09-16T12:36:02+0200,harmonic_arima,5161,fourier_order,0,"{""aic"": -6088.201724749142, ""aicc"": -6088.032183464738, ""bic"": -5949.454012945405, ""fit_wall_s"": 16.462, ""k_daily"": 6, ""k_weekly"": 2, ""n_params"": 21, ""order"": [2, 0, 1], ""use_log"": true}","fourier(K1=6,K2=2)",nan,101.46071393692999,156.26751766350782,0.2920628301848632,16.465,21,454ebb5,"AICc selected K1=6, K2=2 from 15 candidates, spanning -6088 to -5971. K1>=2 was required by the 12-hour spectral peak. Validation MAE 101.46, MASE 0.292. Next: search ARIMA(p,d,q) around the selected harmonics, holding d=0 since ADF and KPSS agree there is no stochastic trend."
dd6d825b89e4,2026-09-16T12:37:05+0200,harmonic_arima,5161,arima_order,0,"{""aic"": -5257.676138400172, ""aicc"": -5257.536740014259, ""bic"": -5132.139021212959, ""fit_wall_s"": 2.859, ""k_daily"": 6, ""k_weekly"": 2, ""n_params"": 19, ""order"": [1, 0, 0], ""use_log"": true}","fourier(K1=6,K2=2)",nan,118.4716471973997,185.4081278616521,0.34103017054112145,2.861,19,454ebb5,"ARIMA(1, 0, 0) with the AICc-selected harmonics gave validation MAE 118.47, worsened validation MAE by 17.01 (16.8%). d is held at 0 throughout because both stationarity tests agree the raw series has no unit root; differencing would remove signal."
57786548d4ef,2026-09-16T12:38:08+0200,harmonic_arima,5161,arima_order,0,"{""aic"": -5754.66343402943, ""aicc"": -5754.509333864323, ""bic"": -5622.5227561211095, ""fit_wall_s"": 4.063, ""k_daily"": 6, ""k_weekly"": 2, ""n_params"": 20, ""order"": [2, 0, 0], ""use_log"": true}","fourier(K1=6,K2=2)",nan,105.58804062779457,165.33590774966274,0.3039436722138357,4.065,20,454ebb5,"ARIMA(2, 0, 0) with the AICc-selected harmonics gave validation MAE 105.59, worsened validation MAE by 4.13 (4.1%). d is held at 0 throughout because both stationarity tests agree the raw series has no unit root; differencing would remove signal."
