square_id,model,hour,mae,n
5161,persistence,0,58.8123,60
5161,persistence,1,24.3049,60
5161,persistence,2,13.6587,60
5161,persistence,3,15.4078,60
5161,persistence,4,11.2424,60
5161,persistence,5,16.7308,60
5161,persistence,6,16.9151,60
5161,persistence,7,17.011,60
5161,persistence,8,31.8303,60
5161,persistence,9,53.1825,60
5161,persistence,10,101.0189,60
5161,persistence,11,115.441,60
5161,persistence,12,121.9547,60
5161,persistence,13,84.512,60
5161,persistence,14,108.1811,60
5161,persistence,15,121.1961,60
5161,persistence,16,141.9407,60
5161,persistence,17,107.7488,60
5161,persistence,18,143.2223,60
5161,persistence,19,115.7605,60
5161,persistence,20,83.8463,60
5161,persistence,21,46.0011,60
5161,persistence,22,63.4955,60
5161,persistence,23,39.6644,60
5161,seasonal_naive,0,145.9257,60
5161,seasonal_naive,1,58.4311,60
5161,seasonal_naive,2,27.7614,60
5161,seasonal_naive,3,23.7324,60
5161,seasonal_naive,4,18.771,60
5161,seasonal_naive,5,24.0054,60
5161,seasonal_naive,6,27.8005,60
5161,seasonal_naive,7,37.4158,60
5161,seasonal_naive,8,103.0237,60
5161,seasonal_naive,9,216.9265,60
5161,seasonal_naive,10,378.8765,60
5161,seasonal_naive,11,718.119,60
5161,seasonal_naive,12,992.5417,60
5161,seasonal_naive,13,1137.4202,60
5161,seasonal_naive,14,1005.2607,60
5161,seasonal_naive,15,1075.3956,60
5161,seasonal_naive,16,1278.2254,60
5161,seasonal_naive,17,1205.7495,60
5161,seasonal_naive,18,863.9791,60
5161,seasonal_naive,19,448.4453,60
5161,seasonal_naive,20,243.6412,60
5161,seasonal_naive,21,189.9589,60
5161,seasonal_naive,22,174.5839,60
5161,seasonal_naive,23,161.1715,60
5161,harmonic_arima,0,59.8786,60
5161,harmonic_arima,1,25.6709,60
5161,harmonic_arima,2,12.137,60
5161,harmonic_arima,3,13.4941,60
5161,harmonic_arima,4,10.452,60
5161,harmonic_arima,5,14.0832,60
5161,harmonic_arima,6,15.11,60
5161,harmonic_arima,7,20.5783,60
5161,harmonic_arima,8,31.5404,60
5161,harmonic_arima,9,39.1021,60
5161,harmonic_arima,10,82.3253,60
5161,harmonic_arima,11,97.4886,60
5161,harmonic_arima,12,108.2469,60
5161,harmonic_arima,13,117.6308,60
5161,harmonic_arima,14,103.5262,60
5161,harmonic_arima,15,131.569,60
5161,harmonic_arima,16,143.823,60
5161,harmonic_arima,17,149.1982,60
5161,harmonic_arima,18,193.3978,60
5161,harmonic_arima,19,166.6559,60
5161,harmonic_arima,20,94.951,60
5161,harmonic_arima,21,59.5709,60
5161,harmonic_arima,22,66.6491,60
5161,harmonic_arima,23,44.5819,60
5161,lightgbm,0,66.784,60
5161,lightgbm,1,32.686,60
5161,lightgbm,2,36.6481,60
5161,lightgbm,3,40.8289,60
5161,lightgbm,4,40.9446,60
5161,lightgbm,5,32.5501,60
5161,lightgbm,6,34.7877,60
5161,lightgbm,7,28.7023,60
5161,lightgbm,8,42.728,60
5161,lightgbm,9,58.6779,60
5161,lightgbm,10,118.1849,60
5161,lightgbm,11,167.1178,60
5161,lightgbm,12,239.2877,60
5161,lightgbm,13,231.6554,60
5161,lightgbm,14,235.3028,60
5161,lightgbm,15,234.8461,60
5161,lightgbm,16,233.2306,60
5161,lightgbm,17,208.708,60
5161,lightgbm,18,194.4648,60
5161,lightgbm,19,165.5921,60
5161,lightgbm,20,137.608,60
5161,lightgbm,21,83.0151,60
5161,lightgbm,22,68.0693,60
5161,lightgbm,23,54.0696,60
5161,lstm,0,66.0826,60
5161,lstm,1,33.6495,60
5161,lstm,2,20.5188,60
5161,lstm,3,21.1895,60
5161,lstm,4,19.3579,60
5161,lstm,5,17.5232,60
5161,lstm,6,22.3767,60
5161,lstm,7,24.8578,60
5161,lstm,8,33.1994,60
5161,lstm,9,42.9238,60
5161,lstm,10,109.2465,60
5161,lstm,11,163.0806,60
5161,lstm,12,242.789,60
5161,lstm,13,284.2252,60
5161,lstm,14,238.7099,60
5161,lstm,15,251.7139,60
5161,lstm,16,246.8839,60
5161,lstm,17,235.9317,60
5161,lstm,18,234.6323,60
5161,lstm,19,207.4884,60
5161,lstm,20,138.3755,60
5161,lstm,21,72.8622,60
5161,lstm,22,66.7556,60
5161,lstm,23,50.9704,60
5161,lstm_ensemble,0,66.0826,60
5161,lstm_ensemble,1,33.6495,60
5161,lstm_ensemble,2,20.5188,60
5161,lstm_ensemble,3,21.1895,60
5161,lstm_ensemble,4,19.3579,60
5161,lstm_ensemble,5,17.5232,60
5161,lstm_ensemble,6,22.3767,60
5161,lstm_ensemble,7,24.8578,60
5161,lstm_ensemble,8,33.1994,60
5161,lstm_ensemble,9,42.9238,60
5161,lstm_ensemble,10,109.2465,60
5161,lstm_ensemble,11,163.0806,60
5161,lstm_ensemble,12,242.789,60
5161,lstm_ensemble,13,284.2252,60
5161,lstm_ensemble,14,238.7099,60
5161,lstm_ensemble,15,251.7139,60
5161,lstm_ensemble,16,246.8839,60
5161,lstm_ensemble,17,235.9317,60
5161,lstm_ensemble,18,234.6323,60
5161,lstm_ensemble,19,207.4884,60
5161,lstm_ensemble,20,138.3755,60
5161,lstm_ensemble,21,72.8622,60
5161,lstm_ensemble,22,66.7556,60
5161,lstm_ensemble,23,50.9704,60
5059,persistence,0,81.8712,60
5059,persistence,1,42.5104,60
5059,persistence,2,23.5227,60
5059,persistence,3,18.7388,60
5059,persistence,4,22.6781,60
5059,persistence,5,19.6166,60
5059,persistence,6,23.3968,60
5059,persistence,7,28.223,60
5059,persistence,8,43.6413,60
5059,persistence,9,43.3354,60
5059,persistence,10,59.8644,60
5059,persistence,11,83.9093,60
5059,persistence,12,75.8526,60
5059,persistence,13,81.4449,60
5059,persistence,14,92.4424,60
5059,persistence,15,86.2132,60
5059,persistence,16,76.4246,60
5059,persistence,17,82.9278,60
5059,persistence,18,90.1866,60
5059,persistence,19,77.3146,60
5059,persistence,20,63.7186,60
5059,persistence,21,54.0713,60
5059,persistence,22,48.9032,60
5059,persistence,23,57.4133,60
5059,seasonal_naive,0,275.3459,60
5059,seasonal_naive,1,97.636,60
5059,seasonal_naive,2,56.0494,60
5059,seasonal_naive,3,45.3795,60
5059,seasonal_naive,4,34.7764,60
5059,seasonal_naive,5,36.0716,60
5059,seasonal_naive,6,36.2801,60
5059,seasonal_naive,7,70.6965,60
5059,seasonal_naive,8,183.8809,60
5059,seasonal_naive,9,306.1775,60
5059,seasonal_naive,10,489.045,60
5059,seasonal_naive,11,615.531,60
5059,seasonal_naive,12,767.5949,60
5059,seasonal_naive,13,850.015,60
5059,seasonal_naive,14,811.2806,60
5059,seasonal_naive,15,712.5851,60
5059,seasonal_naive,16,721.7956,60
5059,seasonal_naive,17,635.9581,60
5059,seasonal_naive,18,448.1438,60
5059,seasonal_naive,19,280.7326,60
5059,seasonal_naive,20,179.1871,60
5059,seasonal_naive,21,179.6491,60
5059,seasonal_naive,22,223.6806,60
5059,seasonal_naive,23,344.7962,60
5059,harmonic_arima,0,97.6002,60
5059,harmonic_arima,1,44.2506,60
5059,harmonic_arima,2,23.2785,60
5059,harmonic_arima,3,19.8863,60
5059,harmonic_arima,4,22.1729,60
5059,harmonic_arima,5,18.3944,60
5059,harmonic_arima,6,23.1817,60
5059,harmonic_arima,7,37.3938,60
5059,harmonic_arima,8,49.9909,60
5059,harmonic_arima,9,56.9176,60
5059,harmonic_arima,10,68.6581,60
5059,harmonic_arima,11,69.4056,60
5059,harmonic_arima,12,83.4299,60
5059,harmonic_arima,13,97.1998,60
5059,harmonic_arima,14,94.1826,60
5059,harmonic_arima,15,92.1157,60
5059,harmonic_arima,16,89.9969,60
5059,harmonic_arima,17,103.5812,60
5059,harmonic_arima,18,136.4091,60
5059,harmonic_arima,19,105.0011,60
5059,harmonic_arima,20,74.2523,60
5059,harmonic_arima,21,49.8326,60
5059,harmonic_arima,22,55.973,60
5059,harmonic_arima,23,91.3914,60
5059,lightgbm,0,136.4054,60
5059,lightgbm,1,46.2667,60
5059,lightgbm,2,49.7844,60
5059,lightgbm,3,52.9596,60
5059,lightgbm,4,57.3255,60
5059,lightgbm,5,49.8198,60
5059,lightgbm,6,51.2096,60
5059,lightgbm,7,56.7005,60
5059,lightgbm,8,61.8928,60
5059,lightgbm,9,78.1956,60
5059,lightgbm,10,99.5723,60
5059,lightgbm,11,94.2722,60
5059,lightgbm,12,107.842,60
5059,lightgbm,13,121.5751,60
5059,lightgbm,14,119.3738,60
5059,lightgbm,15,107.3169,60
5059,lightgbm,16,109.4459,60
5059,lightgbm,17,117.649,60
5059,lightgbm,18,140.1817,60
5059,lightgbm,19,114.2135,60
5059,lightgbm,20,98.8647,60
5059,lightgbm,21,65.772,60
5059,lightgbm,22,68.6376,60
5059,lightgbm,23,116.3073,60
5059,lstm,0,118.9784,60
5059,lstm,1,49.8525,60
5059,lstm,2,40.9133,60
5059,lstm,3,36.3019,60
5059,lstm,4,39.6254,60
5059,lstm,5,35.1846,60
5059,lstm,6,37.1695,60
5059,lstm,7,41.6074,60
5059,lstm,8,59.7111,60
5059,lstm,9,114.5349,60
5059,lstm,10,151.3618,60
5059,lstm,11,180.5183,60
5059,lstm,12,218.9768,60
5059,lstm,13,247.4787,60
5059,lstm,14,255.9013,60
5059,lstm,15,215.9589,60
5059,lstm,16,193.9061,60
5059,lstm,17,183.5633,60
5059,lstm,18,180.1054,60
5059,lstm,19,161.1385,60
5059,lstm,20,121.1285,60
5059,lstm,21,72.0895,60
5059,lstm,22,67.0721,60
5059,lstm,23,106.9457,60
5059,lstm_ensemble,0,118.9784,60
5059,lstm_ensemble,1,49.8525,60
5059,lstm_ensemble,2,40.9133,60
5059,lstm_ensemble,3,36.3019,60
5059,lstm_ensemble,4,39.6254,60
5059,lstm_ensemble,5,35.1846,60
5059,lstm_ensemble,6,37.1695,60
5059,lstm_ensemble,7,41.6074,60
5059,lstm_ensemble,8,59.7111,60
5059,lstm_ensemble,9,114.5349,60
5059,lstm_ensemble,10,151.3618,60
5059,lstm_ensemble,11,180.5183,60
5059,lstm_ensemble,12,218.9768,60
5059,lstm_ensemble,13,247.4787,60
5059,lstm_ensemble,14,255.9013,60
5059,lstm_ensemble,15,215.9589,60
5059,lstm_ensemble,16,193.9061,60
5059,lstm_ensemble,17,183.5633,60
5059,lstm_ensemble,18,180.1054,60
5059,lstm_ensemble,19,161.1385,60
5059,lstm_ensemble,20,121.1285,60
5059,lstm_ensemble,21,72.0895,60
5059,lstm_ensemble,22,67.0721,60
5059,lstm_ensemble,23,106.9457,60
5259,persistence,0,28.0929,60
5259,persistence,1,21.9701,60
5259,persistence,2,22.9338,60
5259,persistence,3,22.7277,60
5259,persistence,4,19.0244,60
5259,persistence,5,23.497,60
5259,persistence,6,21.5373,60
5259,persistence,7,23.9001,60
5259,persistence,8,50.6164,60
5259,persistence,9,51.6264,60
5259,persistence,10,37.0913,60
5259,persistence,11,37.7657,60
5259,persistence,12,46.5758,60
5259,persistence,13,48.176,60
5259,persistence,14,48.3811,60
5259,persistence,15,37.9562,60
5259,persistence,16,41.6418,60
5259,persistence,17,34.8975,60
5259,persistence,18,38.2508,60
5259,persistence,19,33.283,60
5259,persistence,20,30.4147,60
5259,persistence,21,31.5845,60
5259,persistence,22,26.7537,60
5259,persistence,23,25.624,60
5259,seasonal_naive,0,164.4644,60
5259,seasonal_naive,1,210.0199,60
5259,seasonal_naive,2,235.5365,60
5259,seasonal_naive,3,181.3115,60
5259,seasonal_naive,4,123.3934,60
5259,seasonal_naive,5,52.6657,60
5259,seasonal_naive,6,25.7954,60
5259,seasonal_naive,7,70.762,60
5259,seasonal_naive,8,261.9941,60
5259,seasonal_naive,9,507.544,60
5259,seasonal_naive,10,615.5041,60
5259,seasonal_naive,11,650.681,60
5259,seasonal_naive,12,706.658,60
5259,seasonal_naive,13,710.0465,60
5259,seasonal_naive,14,694.6435,60
5259,seasonal_naive,15,645.0646,60
5259,seasonal_naive,16,605.1725,60
5259,seasonal_naive,17,497.0252,60
5259,seasonal_naive,18,295.6008,60
5259,seasonal_naive,19,166.7201,60
5259,seasonal_naive,20,128.4123,60
5259,seasonal_naive,21,138.6101,60
5259,seasonal_naive,22,123.916,60
5259,seasonal_naive,23,130.5023,60
5259,harmonic_arima,0,31.357,60
5259,harmonic_arima,1,21.8625,60
5259,harmonic_arima,2,21.352,60
5259,harmonic_arima,3,19.6083,60
5259,harmonic_arima,4,15.5731,60
5259,harmonic_arima,5,21.8271,60
5259,harmonic_arima,6,18.4441,60
5259,harmonic_arima,7,18.4963,60
5259,harmonic_arima,8,39.9096,60
5259,harmonic_arima,9,43.8081,60
5259,harmonic_arima,10,35.1748,60
5259,harmonic_arima,11,36.6305,60
5259,harmonic_arima,12,43.5993,60
5259,harmonic_arima,13,54.8686,60
5259,harmonic_arima,14,46.8749,60
5259,harmonic_arima,15,34.3994,60
5259,harmonic_arima,16,42.1185,60
5259,harmonic_arima,17,37.1903,60
5259,harmonic_arima,18,35.8718,60
5259,harmonic_arima,19,28.5277,60
5259,harmonic_arima,20,26.4275,60
5259,harmonic_arima,21,26.7691,60
5259,harmonic_arima,22,23.7722,60
5259,harmonic_arima,23,21.4945,60
5259,lightgbm,0,48.2161,60
5259,lightgbm,1,39.5028,60
5259,lightgbm,2,47.3998,60
5259,lightgbm,3,47.5847,60
5259,lightgbm,4,49.9818,60
5259,lightgbm,5,43.2663,60
5259,lightgbm,6,44.5406,60
5259,lightgbm,7,42.5637,60
5259,lightgbm,8,54.5547,60
5259,lightgbm,9,80.5379,60
5259,lightgbm,10,67.1384,60
5259,lightgbm,11,55.0994,60
5259,lightgbm,12,54.4001,60
5259,lightgbm,13,67.6123,60
5259,lightgbm,14,62.0195,60
5259,lightgbm,15,58.4246,60
5259,lightgbm,16,53.4114,60
5259,lightgbm,17,45.8264,60
5259,lightgbm,18,47.6923,60
5259,lightgbm,19,38.7074,60
5259,lightgbm,20,43.6583,60
5259,lightgbm,21,40.7073,60
5259,lightgbm,22,37.6649,60
5259,lightgbm,23,32.8648,60
5259,lstm,0,46.1314,60
5259,lstm,1,37.0713,60
5259,lstm,2,36.8961,60
5259,lstm,3,28.9877,60
5259,lstm,4,23.1794,60
5259,lstm,5,26.5031,60
5259,lstm,6,25.1133,60
5259,lstm,7,24.0968,60
