square_id,model,start,stop,n_steps,mae,persistence_mae,ratio_to_persistence
5161,persistence,2013-12-29T14:10:00.000000000,2013-12-29T20:00:00.000000000,36,201.83,201.83,1.0
5161,persistence,2013-12-23T09:50:00.000000000,2013-12-23T15:40:00.000000000,36,198.51,198.51,1.0
5161,persistence,2013-12-27T15:00:00.000000000,2013-12-27T20:50:00.000000000,36,147.804,147.804,1.0
5161,seasonal_naive,2013-12-25T11:40:00.000000000,2013-12-25T17:30:00.000000000,36,2151.559,33.821,63.617
5161,seasonal_naive,2013-12-27T11:50:00.000000000,2013-12-27T17:40:00.000000000,36,2086.15,136.495,15.284
5161,seasonal_naive,2013-12-24T12:30:00.000000000,2013-12-24T18:20:00.000000000,36,1810.353,126.573,14.303
5161,harmonic_arima,2013-12-29T14:10:00.000000000,2013-12-29T20:00:00.000000000,36,232.199,201.83,1.15
5161,harmonic_arima,2013-12-23T10:40:00.000000000,2013-12-23T16:30:00.000000000,36,197.927,184.462,1.073
5161,harmonic_arima,2013-12-24T13:50:00.000000000,2013-12-24T19:40:00.000000000,36,197.099,142.952,1.379
5161,lightgbm,2013-12-27T12:10:00.000000000,2013-12-27T18:00:00.000000000,36,646.204,129.02,5.009
5161,lightgbm,2013-12-24T13:10:00.000000000,2013-12-24T19:00:00.000000000,36,277.915,131.678,2.111
5161,lightgbm,2013-12-23T10:50:00.000000000,2013-12-23T16:40:00.000000000,36,273.838,177.588,1.542
5161,lstm,2013-12-23T11:30:00.000000000,2013-12-23T17:20:00.000000000,36,401.997,179.7,2.237
5161,lstm,2013-12-26T11:50:00.000000000,2013-12-26T17:40:00.000000000,36,338.872,89.171,3.8
5161,lstm,2014-01-01T12:50:00.000000000,2014-01-01T18:40:00.000000000,36,335.052,69.877,4.795
5161,lstm_ensemble,2013-12-23T11:30:00.000000000,2013-12-23T17:20:00.000000000,36,401.997,179.7,2.237
5161,lstm_ensemble,2013-12-26T11:50:00.000000000,2013-12-26T17:40:00.000000000,36,338.872,89.171,3.8
5161,lstm_ensemble,2014-01-01T12:50:00.000000000,2014-01-01T18:40:00.000000000,36,335.052,69.877,4.795
5059,persistence,2013-12-31T20:20:00.000000000,2014-01-01T02:10:00.000000000,36,193.055,193.055,1.0
5059,persistence,2013-12-23T10:30:00.000000000,2013-12-23T16:20:00.000000000,36,169.449,169.449,1.0
5059,persistence,2013-12-27T16:20:00.000000000,2013-12-27T22:10:00.000000000,36,124.507,124.507,1.0
5059,seasonal_naive,2013-12-27T11:50:00.000000000,2013-12-27T17:40:00.000000000,36,1538.539,98.261,15.658
5059,seasonal_naive,2013-12-25T11:20:00.000000000,2013-12-25T17:10:00.000000000,36,1367.629,27.364,49.979
5059,seasonal_naive,2013-12-24T12:50:00.000000000,2013-12-24T18:40:00.000000000,36,1187.046,75.032,15.821
5059,harmonic_arima,2013-12-31T20:20:00.000000000,2014-01-01T02:10:00.000000000,36,318.874,193.055,1.652
5059,harmonic_arima,2013-12-24T12:50:00.000000000,2013-12-24T18:40:00.000000000,36,146.198,75.032,1.948
5059,harmonic_arima,2013-12-31T12:40:00.000000000,2013-12-31T18:30:00.000000000,36,134.754,91.885,1.467
5059,lightgbm,2013-12-31T18:50:00.000000000,2014-01-01T00:40:00.000000000,36,403.173,157.211,2.565
5059,lightgbm,2013-12-24T12:50:00.000000000,2013-12-24T18:40:00.000000000,36,154.352,75.032,2.057
5059,lightgbm,2013-12-31T10:10:00.000000000,2013-12-31T16:00:00.000000000,36,153.593,100.468,1.529
5059,lstm,2013-12-31T11:10:00.000000000,2013-12-31T17:00:00.000000000,36,374.352,101.573,3.686
5059,lstm,2013-12-24T12:10:00.000000000,2013-12-24T18:00:00.000000000,36,344.301,74.343,4.631
5059,lstm,2014-01-01T12:10:00.000000000,2014-01-01T18:00:00.000000000,36,336.708,48.655,6.92
5059,lstm_ensemble,2013-12-31T11:10:00.000000000,2013-12-31T17:00:00.000000000,36,374.352,101.573,3.686
5059,lstm_ensemble,2013-12-24T12:10:00.000000000,2013-12-24T18:00:00.000000000,36,344.301,74.343,4.631
5059,lstm_ensemble,2014-01-01T12:10:00.000000000,2014-01-01T18:00:00.000000000,36,336.708,48.655,6.92
5259,persistence,2014-01-01T00:00:00.000000000,2014-01-01T05:50:00.000000000,36,100.611,100.611,1.0
5259,persistence,2013-12-23T07:50:00.000000000,2013-12-23T13:40:00.000000000,36,100.252,100.252,1.0
5259,persistence,2013-12-24T08:10:00.000000000,2013-12-24T14:00:00.000000000,36,85.213,85.213,1.0
5259,seasonal_naive,2013-12-23T10:10:00.000000000,2013-12-23T16:00:00.000000000,36,1506.692,85.978,17.524
5259,seasonal_naive,2013-12-24T12:50:00.000000000,2013-12-24T18:40:00.000000000,36,1240.386,50.667,24.481
5259,seasonal_naive,2013-12-25T08:30:00.000000000,2013-12-25T14:20:00.000000000,36,936.465,22.057,42.456
5259,harmonic_arima,2014-01-01T00:00:00.000000000,2014-01-01T05:50:00.000000000,36,103.711,100.611,1.031
5259,harmonic_arima,2013-12-24T08:10:00.000000000,2013-12-24T14:00:00.000000000,36,87.773,85.213,1.03
5259,harmonic_arima,2013-12-23T10:40:00.000000000,2013-12-23T16:30:00.000000000,36,82.442,86.57,0.952
5259,lightgbm,2014-01-01T00:00:00.000000000,2014-01-01T05:50:00.000000000,36,126.553,100.611,1.258
5259,lightgbm,2013-12-24T08:10:00.000000000,2013-12-24T14:00:00.000000000,36,114.442,85.213,1.343
5259,lightgbm,2013-12-23T09:00:00.000000000,2013-12-23T14:50:00.000000000,36,110.022,94.018,1.17
5259,lstm,2013-12-24T08:50:00.000000000,2013-12-24T14:40:00.000000000,36,241.094,75.662,3.186
5259,lstm,2013-12-31T09:30:00.000000000,2013-12-31T15:20:00.000000000,36,199.66,56.576,3.529
5259,lstm,2013-12-27T09:00:00.000000000,2013-12-27T14:50:00.000000000,36,183.672,55.088,3.334
5259,lstm_ensemble,2013-12-24T08:50:00.000000000,2013-12-24T14:40:00.000000000,36,241.094,75.662,3.186
5259,lstm_ensemble,2013-12-31T09:30:00.000000000,2013-12-31T15:20:00.000000000,36,199.66,56.576,3.529
5259,lstm_ensemble,2013-12-27T09:00:00.000000000,2013-12-27T14:50:00.000000000,36,183.672,55.088,3.334
