model,square_id,device,n_seeds,train_wall_s,train_wall_std,inference_wall_s,inference_ms_per_step,n_params
persistence,5161,cpu,1,0.0,0.0,0.0,0.0,0
seasonal_naive,5161,cpu,1,0.0,0.0,0.0,0.0,0
harmonic_arima,5161,cpu,1,15.16,0.0,110.5586,76.7768,22
lstm,5161,cuda,3,10.078,0.15,0.0618,0.0429,202369
lstm_ensemble,5161,cuda,3,30.234,0.0,0.1854,0.1287,607107
lightgbm,5161,cpu,1,0.882,0.0,0.0216,0.015,19639
persistence,5059,cpu,1,0.0,0.0,0.0,0.0,0
seasonal_naive,5059,cpu,1,0.0,0.0,0.0,0.0,0
harmonic_arima,5059,cpu,1,13.138,0.0,116.9702,81.2293,22
lstm,5059,cuda,3,10.089,0.142,0.0627,0.0435,202369
lstm_ensemble,5059,cuda,3,30.267,0.0,0.188,0.1306,607107
lightgbm,5059,cpu,1,0.768,0.0,0.0203,0.0141,19684
persistence,5259,cpu,1,0.0,0.0,0.0,0.0,0
seasonal_naive,5259,cpu,1,0.0,0.0,0.0,0.0,0
harmonic_arima,5259,cpu,1,15.232,0.0,115.5356,80.2331,22
lstm,5259,cuda,3,10.081,0.163,0.0627,0.0435,202369
lstm_ensemble,5259,cuda,3,30.242,0.0,0.188,0.1306,607107
lightgbm,5259,cpu,1,0.888,0.0,0.0182,0.0127,19974
